;2;2;2;2;2;2;2
;cost;cost;cost;gain;gain;gain;cost
;total cost;EE;CO2;ecology;social;economic;disc hours
22-1;145155956;164568;17,115;3.16;4.13;3.94;637
24-1;148773747;149015;25,287;3.42;4.15;4.08;649
33-3;170122188;130161;27,332;3.46;4.08;3.94;597
3-1;128734685;123151;24,022;3.10;4.05;3.89;644
10-1;145152248;125024;17,616;3.14;3.99;3.69;624
7-3;170158386;145756;16,317;3.33;4.15;4.09;716
10-3;166414119;132196;18,132;3.14;3.99;3.69;590
12-3;150138498;104296;26,067;3.14;3.99;3.75;600
15-1;143369549;101891;22,920;3.39;4.05;3.92;703
1-1;142422322;146206;18,687;3.10;4.05;3.83;640
22-3;166442946;171775;17,644;3.16;4.13;3.94;628
24-3;167392261;151343;28,403;3.42;4.15;4.08;633
30-1;139598737;127911;24,247;3.21;4.03;3.77;620
9-1;136865102;109549;25,820;3.15;3.95;3.66;616
3-3;147408571;125478;27,138;3.10;4.05;3.89;633
21-1;136868810;149093;25,318;3.17;4.09;3.91;644
28-1;153286373;150966;18,912;3.21;4.02;3.71;619
15-3;161988063;104219;26,036;3.39;4.05;3.92;691
33-1;151503674;127833;24,216;3.46;4.08;3.94;703
1-3;163684193;153378;19,203;3.10;4.05;3.83;635
28-3;174548244;158138;19,428;3.21;4.02;3.71;590
30-3;158272623;130238;27,363;3.21;4.03;3.77;600
19-1;150556447;172148;19,983;3.17;4.09;3.85;639
0-1;134135176;130731;26,890;3.12;4.01;3.80;651
14-1;117555719;209195;19,377;3.18;3.96;3.66;613
9-3;155513869;111841;28,922;3.15;3.95;3.66;603
21-3;155542696;151420;28,434;3.17;4.09;3.91;633
5-1;114825793;230377;20,448;3.14;4.02;3.80;638
27-1;144999227;135491;27,116;3.23;3.98;3.68;624
19-3;171818318;179320;20,499;3.17;4.09;3.85;632
0-3;152783943;133023;29,993;3.12;4.01;3.80;630
17-1;129460656;209117;19,347;3.43;4.02;3.84;698
8-1;126730730;230299;20,417;3.39;4.08;3.98;722
18-1;142269301;156673;28,186;3.19;4.05;3.82;651
27-3;163647994;137783;30,218;3.23;3.98;3.68;605
32-1;125689844;235137;20,674;3.25;4.00;3.68;622
14-3;131843851;245332;21,367;3.18;3.96;3.66;585
26-1;134864855;256241;21,713;3.47;4.11;4.00;724
35-1;137594781;235059;20,643;3.50;4.05;3.86;698
