;2;2;2;2;2;2;2;2;2;2;2;2
;cost;cost;gain;gain;gain;cost;gain;gain;gain;gain;cost;gain
;saidi;severe accident risks;control of corruption;political stability and absece of violence/terrorism;electricity mix diversity;electricity import dependence;equivalent availability factor;GDP per capita;insurance penetration;government effectiveness;average outage time;ease of doing business
Nepal;6.8;7.02;32.21;14.29;0.01;1.12;39;690;1.58;12.98;1.71;59.99
Netherlands;0.3;0.08;94.71;80.48;0.57;1.03;80;50108;3.89;97.12;1.00;75.21
New Zealand;2.4;0.02;100.00;99.05;0.56;0.94;56;36236;3.89;98.56;1.71;86.42
Nicaragua;21.4;0.93;18.75;43.33;0.59;0.82;69;1850;1.20;20.67;1.89;55.11
Niger;21.4;0.79;30.77;13.33;0.31;1.16;84;384;0.70;31.25;1.50;45.39
Nigeria;21.4;1.37;12.50;6.19;0.21;0.83;77;2535;0.20;16.35;4.00;46.40
North Korea;6.8;5.30;9.13;10.95;0.32;0.84;52;1068;1.58;2.40;1.71;62.72
Norway;1.8;0.00;99.04;91.43;0.10;0.84;40;50108;2.21;98.08;0.82;82.49
Oman;3.4;0.14;64.90;71.43;0.05;0.90;85;15969;1.41;55.77;1.55;63.70
Pakistan;21.4;2.54;21.63;1.43;0.56;0.83;71;1143;0.27;27.88;2.54;50.04
Panama;1.4;4.58;44.23;59.05;0.44;0.85;54;10748;2.25;65.38;0.93;64.92
Paraguay;15.9;7.03;15.87;48.57;0.00;0.64;39;3822;1.20;17.31;1.71;59.82
Peru;9.6;3.53;34.62;32.38;0.42;0.89;61;5934;1.00;44.23;3.69;70.67
Philippines;5.8;1.09;39.90;19.52;0.64;0.91;80;2640;0.53;57.21;1.81;58.09
Poland;1.4;0.11;73.56;75.24;0.34;0.93;80;14461;1.72;74.52;0.93;75.35
Portugal;0.6;0.06;80.29;78.10;0.73;0.95;60;21963;2.32;86.06;0.86;76.17
Qatar;0.7;0.12;78.37;84.29;0.00;0.94;85;50108;1.50;77.40;1.75;65.32
Romania;3.2;0.05;57.21;54.29;0.74;0.79;64;9537;1.03;51.44;1.07;72.90
Russia;0.0;1.27;15.38;13.81;0.57;0.89;79;11963;1.19;47.12;0.00;71.61
Saudi Arabia;1.1;0.49;58.65;23.81;0.30;0.93;85;21313;1.47;60.58;1.38;61.03
Senegal;21.4;1.41;59.13;41.90;0.28;0.83;79;1042;1.00;38.46;1.89;45.28
Serbia;3.9;2.39;49.04;55.24;0.28;0.84;72;5659;1.60;56.73;1.08;65.86
Singapore;0.0;0.12;96.63;96.19;0.11;0.98;85;50108;1.69;100.00;0.00;84.60
Slovakia;0.9;0.03;62.50;74.76;0.59;1.04;79;18657;1.33;75.00;1.50;73.51
Slovenia;9.0;0.04;76.44;81.43;0.58;0.94;73;23820;3.57;77.88;1.67;72.39
South Africa;21.4;0.63;58.17;39.52;0.17;0.91;83;7586;2.70;64.90;1.71;63.92
South Korea;0.0;0.07;66.83;53.81;0.56;0.97;85;25021;3.89;79.81;0.00;83.52
South Sudan;6.8;0.95;0.48;2.38;0.02;0.94;85;332;1.58;0.48;1.71;35.70
Spain;0.3;0.05;69.71;55.71;0.84;0.91;66;30486;2.75;85.10;0.50;73.87
Sri Lanka;3.3;3.55;45.19;50.48;0.50;0.93;62;3637;0.66;53.37;1.00;56.71
Sudan;21.4;4.87;2.40;3.81;0.28;0.81;55;1807;1.58;6.25;2.40;45.92
